num_bsns_tot_num_bsns_num, yr, lga_code17, lga_name17
4460,2016,"10050","Albury (C)"
2917,2016,"10130","Armidale Regional (A)"
4136,2016,"10250","Ballina (A)"
276,2016,"10300","Balranald (A)"
3300,2016,"10470","Bathurst Regional (A)"
14243,2016,"10500","Bayside (A)"
2898,2016,"10550","Bega Valley (A)"
1156,2016,"10600","Bellingen (A)"
884,2016,"10650","Berrigan (A)"
19367,2016,"10750","Blacktown (C)"
778,2016,"10800","Bland (A)"
730,2016,"10850","Blayney (A)"
5414,2016,"10900","Blue Mountains (C)"
415,2016,"10950","Bogan (A)"
177,2016,"11150","Bourke (A)"
117,2016,"11200","Brewarrina (A)"
956,2016,"11250","Broken Hill (C)"
1947,2016,"14100","Hunters Hill (A)"
19044,2016,"14170","Inner West (A)"
1675,2016,"14200","Inverell (A)"
462,2016,"14300","Junee (A)"
2146,2016,"14350","Kempsey (A)"
1754,2016,"14400","Kiama (A)"
13969,2016,"14500","Ku-ring-gai (A)"
951,2016,"14550","Kyogle (A)"
1013,2016,"14600","Lachlan (A)"
12207,2016,"14650","Lake Macquarie (C)"
4459,2016,"14700","Lane Cove (A)"
972,2016,"14750","Leeton (A)"
3936,2016,"14850","Lismore (C)"
1289,2016,"14870","Lithgow (C)"
14744,2016,"14900","Liverpool (C)"
975,2016,"14920","Liverpool Plains (A)"
308,2016,"14950","Lockhart (A)"
5214,2016,"15050","Maitland (C)"
6537,2016,"15240","Mid-Coast (A)"
2454,2016,"15270","Mid-Western Regional (A)"
1914,2016,"15300","Moree Plains (A)"
4145,2016,"15350","Mosman (A)"
1204,2016,"15520","Murray River (A)"
651,2016,"15560","Murrumbidgee (A)"
1001,2016,"15650","Muswellbrook (A)"
1409,2016,"15700","Nambucca (A)"
1684,2016,"15750","Narrabri (A)"
571,2016,"15800","Narrandera (A)"
948,2016,"15850","Narromine (A)"
12532,2016,"15900","Newcastle (C)"
15418,2016,"15950","North Sydney (A)"
31303,2016,"15990","Northern Beaches (A)"
659,2016,"16100","Oberon (A)"
3233,2016,"16150","Orange (C)"
1424,2016,"16200","Parkes (A)"
23277,2016,"16260","Parramatta (C)"
12948,2016,"16350","Penrith (C)"
6151,2016,"16380","Port Macquarie-Hastings (A)"
4545,2016,"16400","Port Stephens (A)"
4429,2016,"16490","Queanbeyan-Palerang Regional (A)"
12225,2016,"16550","Randwick (C)"
1615,2016,"16610","Richmond Valley (A)"
4617,2016,"11300","Burwood (A)"
5719,2016,"11450","Camden (A)"
8338,2016,"11500","Campbelltown (C) (NSW)"
10139,2016,"11520","Canada Bay (A)"
30743,2016,"11570","Canterbury-Bankstown (A)"
431,2016,"11600","Carrathool (A)"
21929,2016,"11650","Central Coast (C) (NSW)"
156,2016,"11700","Central Darling (A)"
2710,2016,"11720","Cessnock (C)"
4312,2016,"11350","Byron (A)"
1673,2016,"11400","Cabonne (A)"
3783,2016,"11730","Clarence Valley (A)"
445,2016,"11750","Cobar (A)"
5668,2016,"11800","Coffs Harbour (C)"
283,2016,"12000","Coolamon (A)"
643,2016,"12150","Coonamble (A)"
1304,2016,"12350","Cowra (A)"
18752,2016,"12380","Cumberland (A)"
989,2016,"12700","Dungog (A)"
873,2016,"12730","Edward River (A)"
2830,2016,"12750","Eurobodalla (A)"
14532,2016,"12850","Fairfield (C)"
1267,2016,"12870","Federation (A)"
1136,2016,"12900","Forbes (A)"
14794,2016,"12930","Georges River (A)"
595,2016,"12950","Gilgandra (A)"
1098,2016,"13010","Glen Innes Severn (A)"
2223,2016,"13310","Goulburn Mulwaree (A)"
1322,2016,"13340","Greater Hume Shire (A)"
3137,2016,"13450","Griffith (C)"
1132,2016,"13510","Gundagai (A)"
1507,2016,"13550","Gunnedah (A)"
746,2016,"13660","Gwydir (A)"
6596,2016,"13800","Hawkesbury (C)"
377,2016,"13850","Hay (A)"
2150,2016,"13910","Hilltops (A)"
13154,2016,"14000","Hornsby (A)"
11326,2016,"16700","Ryde (C)"
3102,2016,"16900","Shellharbour (C)"
6710,2016,"16950","Shoalhaven (C)"
1980,2016,"17000","Singleton (A)"
2460,2016,"17040","Snowy Monaro Regional (A)"
1454,2016,"17080","Snowy Valleys (A)"
19285,2016,"17420","The Hills Shire (A)"
6935,2016,"17550","Tweed (A)"
1605,2016,"17620","Upper Hunter Shire (A)"
1140,2016,"17640","Upper Lachlan Shire (A)"
640,2016,"17650","Uralla (A)"
5270,2016,"17750","Wagga Wagga (C)"
609,2016,"17850","Walcha (A)"
748,2016,"17900","Walgett (A)"
427,2016,"17950","Warren (A)"
1026,2016,"18020","Warrumbungle Shire (A)"
9558,2016,"18050","Waverley (A)"
519,2016,"18100","Weddin (A)"
751,2016,"18200","Wentworth (A)"
4880,2016,"18230","Western Plains Regional (A)"
11766,2016,"18250","Willoughby (C)"
5269,2016,"18350","Wingecarribee (A)"
4106,2016,"18400","Wollondilly (A)"
12479,2016,"18450","Wollongong (C)"
9737,2016,"18500","Woollahra (A)"
1880,2016,"18710","Yass Valley (A)"
123,2016,"19399","Unincorporated NSW"
1452,2016,"20110","Alpine (S)"
1028,2016,"20260","Ararat (RC)"
8020,2016,"20570","Ballarat (C)"
10310,2016,"20660","Banyule (C)"
2851,2016,"20740","Bass Coast (S)"
5095,2016,"20830","Baw Baw (S)"
13017,2016,"20910","Bayside (C)"
1516,2016,"21010","Benalla (RC)"
24790,2016,"21110","Boroondara (C)"
13243,2016,"21180","Brimbank (C)"
1000,2016,"21270","Buloke (S)"
4172,2016,"21370","Campaspe (S)"
7486,2016,"21450","Cardinia (S)"
18530,2016,"21610","Casey (C)"
837,2016,"21670","Central Goldfields (S)"
2252,2016,"21750","Colac-Otway (S)"
2341,2016,"21830","Corangamite (S)"
11741,2016,"21890","Darebin (C)"
4289,2016,"22110","East Gippsland (S)"
9771,2016,"22170","Frankston (C)"
1367,2016,"22250","Gannawarra (S)"
6345,2016,"22830","Greater Shepparton (C)"
1447,2016,"22910","Hepburn (S)"
762,2016,"22980","Hindmarsh (S)"
6813,2016,"23110","Hobsons Bay (C)"
2154,2016,"23190","Horsham (RC)"
14365,2016,"23270","Hume (C)"
1747,2016,"23350","Indigo (S)"
15974,2016,"23430","Kingston (C) (Vic.)"
12996,2016,"23670","Knox (C)"
4196,2016,"23810","Latrobe (C) (Vic.)"
1036,2016,"23940","Loddon (S)"
4606,2016,"24130","Macedon Ranges (S)"
13024,2016,"24210","Manningham (C)"
1157,2016,"24250","Mansfield (S)"
6577,2016,"24330","Maribyrnong (C)"
8986,2016,"24410","Maroondah (C)"
37030,2016,"24600","Melbourne (C)"
7026,2016,"24650","Melton (C)"
5191,2016,"24780","Mildura (RC)"
2880,2016,"24850","Mitchell (S)"
3098,2016,"24900","Moira (S)"
19509,2016,"24970","Monash (C)"
10613,2016,"25060","Moonee Valley (C)"
2644,2016,"25150","Moorabool (S)"
12289,2016,"25250","Moreland (C)"
14383,2016,"25340","Mornington Peninsula (S)"
1522,2016,"25430","Mount Alexander (S)"
2248,2016,"25490","Moyne (S)"
1691,2016,"25620","Murrindindi (S)"
6352,2016,"25710","Nillumbik (S)"
1187,2016,"25810","Northern Grampians (S)"
19692,2016,"25900","Port Phillip (C)"
786,2016,"25990","Pyrenees (S)"
337,2016,"26080","Queenscliffe (B)"
3652,2016,"26170","South Gippsland (S)"
2015,2016,"26260","Southern Grampians (S)"
17335,2016,"26350","Stonnington (C)"
5549,2016,"17100","Strathfield (A)"
21239,2016,"17150","Sutherland Shire (A)"
64494,2016,"17200","Sydney (C)"
5376,2016,"17310","Tamworth Regional (A)"
688,2016,"17350","Temora (A)"
929,2016,"17400","Tenterfield (A)"
1906,2016,"22410","Glenelg (S)"
1719,2016,"22490","Golden Plains (S)"
7725,2016,"22620","Greater Bendigo (C)"
15229,2016,"22310","Glen Eira (C)"
13368,2016,"22670","Greater Dandenong (C)"
16615,2016,"22750","Greater Geelong (C)"
1345,2016,"26430","Strathbogie (S)"
3245,2016,"26490","Surf Coast (S)"
2484,2016,"26610","Swan Hill (RC)"
902,2016,"26670","Towong (S)"
3063,2016,"26700","Wangaratta (RC)"
2757,2016,"26730","Warrnambool (C)"
4017,2016,"26810","Wellington (S)"
773,2016,"26890","West Wimmera (S)"
15344,2016,"26980","Whitehorse (C)"
12609,2016,"27070","Whittlesea (C)"
2784,2016,"27170","Wodonga (C)"
13155,2016,"27260","Wyndham (C)"
14323,2016,"27350","Yarra (C)"
13056,2016,"27450","Yarra Ranges (S)"
1009,2016,"27630","Yarriambiack (S)"
144,2016,"29399","Unincorporated Vic"
4,2016,"30250","Aurukun (S)"
855,2016,"30300","Balonne (S)"
2568,2016,"30370","Banana (S)"
530,2016,"30410","Barcaldine (R)"
54,2016,"30450","Barcoo (S)"
357,2016,"30760","Blackall-Tambo (R)"
2209,2016,"31900","Burdekin (S)"
44,2016,"31950","Burke (S)"
34,2016,"31750","Bulloo (S)"
13626,2016,"32080","Cairns (R)"
631,2016,"35600","Murweh (S)"
162,2016,"32250","Carpentaria (S)"
3134,2016,"32260","Cassowary Coast (R)"
3133,2016,"32270","Central Highlands (R) (Qld)"
6501,2016,"31820","Bundaberg (R)"
31,2016,"30900","Boulia (S)"
1154,2016,"32310","Charters Towers (R)"
119284,2016,"31000","Brisbane (C)"
44,2016,"32600","Croydon (S)"
9834,2016,"34770","Mackay (R)"
5,2016,"32330","Cherbourg (S)"
122,2016,"34800","McKinlay (S)"
null,2016,"34830","Mapoon (S)"
2343,2016,"34860","Maranoa (R)"
2080,2016,"34880","Mareeba (S)"
3,2016,"35670","Napranum (S)"
26217,2016,"35010","Moreton Bay (R)"
3,2016,"35250","Mornington (S)"
1014,2016,"35300","Mount Isa (C)"
321,2016,"32450","Cloncurry (S)"
322,2016,"32500","Cook (S)"
6639,2016,"35740","Noosa (S)"
1713,2016,"35760","North Burnett (R)"
43,2016,"35780","Northern Peninsula Area (R)"
8,2016,"35790","Palm Island (S)"
266,2016,"35800","Paroo (S)"
4,2016,"36070","Pormpuraaw (S)"
201,2016,"36150","Quilpie (S)"
11539,2016,"36250","Redland (C)"
199,2016,"36300","Richmond (S)"
5245,2016,"36370","Rockhampton (R)"
4276,2016,"36510","Scenic Rim (R)"
1992,2016,"36580","Somerset (R)"
3129,2016,"36630","South Burnett (R)"
4029,2016,"36660","Southern Downs (R)"
29466,2016,"36720","Sunshine Coast (R)"
2640,2016,"36820","Tablelands (R)"
217,2016,"36950","Torres (S)"
22,2016,"36960","Torres Strait Island (R)"
22,2016,"32750","Diamantina (S)"
12009,2016,"37010","Townsville (C)"
1871,2016,"33610","Goondiwindi (R)"
173,2016,"33100","Etheridge (S)"
15384,2016,"36910","Toowoomba (R)"
338,2016,"33200","Flinders (S) (Qld)"
5,2016,"32770","Doomadgee (S)"
5839,2016,"33220","Fraser Coast (R)"
3870,2016,"33360","Gladstone (R)"
61468,2016,"33430","Gold Coast (C)"
1372,2016,"32810","Douglas (S)"
4351,2016,"33620","Gympie (R)"
1390,2016,"33800","Hinchinbrook (S)"
10,2016,"33830","Hope Vale (S)"
8451,2016,"33960","Ipswich (C)"
1602,2016,"33980","Isaac (R)"
3,2016,"34420","Kowanyama (S)"
2818,2016,"34530","Livingstone (S)"
5,2016,"34570","Lockhart River (S)"
2999,2016,"34580","Lockyer Valley (R)"
20403,2016,"34590","Logan (C)"
620,2016,"34710","Longreach (R)"
165,2016,"37300","Weipa (T)"
4743,2016,"37310","Western Downs (R)"
3672,2016,"37340","Whitsunday (R)"
4,2016,"37550","Woorabinda (S)"
390,2016,"44830","Mount Remarkable (DC)"
1299,2016,"45040","Murray Bridge (RC)"
6549,2016,"40700","Burnside (C)"
8872,2016,"45340","Onkaparinga (C)"
3439,2016,"40910","Campbelltown (C) (SA)"
242,2016,"37400","Winton (S)"
391,2016,"41010","Ceduna (DC)"
8435,2016,"41060","Charles Sturt (C)"
1354,2016,"41140","Clare and Gilbert Valleys (DC)"
141,2016,"41330","Coober Pedy (DC)"
null,2016,"37570","Wujal Wujal (S)"
977,2016,"41560","Copper Coast (DC)"
183,2016,"41750","Elliston (DC)"
1609,2016,"46300","Port Lincoln (C)"
1270,2016,"42030","Gawler (T)"
561,2016,"42110","Goyder (DC)"
973,2016,"42250","Grant (DC)"
13,2016,"37600","Yarrabah (S)"
15302,2016,"40070","Adelaide (C)"
704,2016,"42750","Kangaroo Island (DC)"
190,2016,"43080","Karoonda East Murray (DC)"
1301,2016,"43650","Light (RegC)"
3933,2016,"40120","Adelaide Hills (DC)"
2073,2016,"40220","Alexandrina (DC)"
591,2016,"43710","Lower Eyre Peninsula (DC)"
4,2016,"40250","Anangu Pitjantjatjara (AC)"
2208,2016,"40310","Barossa (DC)"
247,2016,"40430","Barunga West (DC)"
1076,2016,"40520","Berri and Barmera (DC)"
330,2016,"41190","Cleve (DC)"
1281,2016,"43790","Loxton Waikerie (DC)"
178,2016,"41830","Flinders Ranges (DC)"
690,2016,"43920","Mallala (DC)"
5012,2016,"44340","Mitcham (C)"
2759,2016,"44550","Mount Barker (DC)"
168,2016,"41960","Franklin Harbour (DC)"
3290,2016,"42600","Holdfast Bay (C)"
211,2016,"43220","Kimba (DC)"
957,2016,"46450","Port Pirie City and Dists (M)"
651,2016,"51540","Carnarvon (S)"
6586,2016,"47140","Salisbury (C)"
298,2016,"43360","Kingston (DC) (SA)"
null,2016,"44000","Maralinga Tjarutja (AC)"
2077,2016,"44620","Mount Gambier (C)"
381,2016,"47290","Southern Mallee (DC)"
351,2016,"47490","Streaky Bay (DC)"
1108,2016,"47630","Tatiara (DC)"
4592,2016,"44060","Marion (C)"
743,2016,"44210","Mid Murray (DC)"
5222,2016,"47700","Tea Tree Gully (C)"
1352,2016,"45090","Naracoorte and Lucindale (DC)"
202,2016,"45400","Orroroo/Carrieton (DC)"
724,2016,"47800","The Coorong (DC)"
308,2016,"47910","Tumby Bay (DC)"
627,2016,"45120","Northern Areas (DC)"
6150,2016,"45290","Norwood Payneham St Peters (C)"
7963,2016,"45890","Port Adelaide Enfield (C)"
125,2016,"45540","Peterborough (DC)"
593,2016,"46090","Port Augusta (C)"
3123,2016,"45680","Playford (C)"
1872,2016,"46510","Prospect (C)"
5341,2016,"48410","West Torrens (C)"
731,2016,"48540","Whyalla (C)"
164,2016,"51610","Chapman Valley (S)"
961,2016,"46670","Renmark Paringa (DC)"
272,2016,"46860","Robe (DC)"
130,2016,"46970","Roxby Downs (M)"
5835,2016,"47980","Unley (C)"
238,2016,"49399","Unincorporated SA"
986,2016,"48050","Victor Harbor (C)"
696,2016,"48130","Wakefield (DC)"
3383,2016,"50080","Albany (C)"
107,2016,"51960","Coolgardie (S)"
4339,2016,"50210","Armadale (C)"
221,2016,"50250","Ashburton (S)"
177,2016,"52030","Coorow (S)"
1925,2016,"50280","Augusta-Margaret River (S)"
1109,2016,"50350","Bassendean (T)"
874,2016,"48260","Walkerville (M)"
5767,2016,"50420","Bayswater (C)"
3736,2016,"50490","Belmont (C)"
246,2016,"50560","Beverley (S)"
1421,2016,"48340","Wattle Range (DC)"
139,2016,"50630","Boddington (S)"
256,2016,"48640","Wudinna (DC)"
288,2016,"50770","Boyup Brook (S)"
475,2016,"50840","Bridgetown-Greenbushes (S)"
144,2016,"50910","Brookton (S)"
390,2016,"51890","Collie (S)"
1243,2016,"50980","Broome (S)"
3007,2016,"51190","Bunbury (C)"
3821,2016,"51260","Busselton (C)"
3818,2016,"51310","Cambridge (T)"
499,2016,"48750","Yankalilla (DC)"
1296,2016,"48830","Yorke Peninsula (DC)"
