lbr_frc_statistics_unemp_num, yr, lga_code17, lga_name17, p_post_scl_qual_p_post_scl_qual_pr100
1684,2016,"10050","Albury (C)",59.2
1032,2016,"10130","Armidale Regional (A)",60.0
1086,2016,"10250","Ballina (A)",62.4
55,2016,"10300","Balranald (A)",44.8
1162,2016,"10470","Bathurst Regional (A)",61.5
4859,2016,"10500","Bayside (A)",60.9
750,2016,"10550","Bega Valley (A)",60.3
378,2016,"10600","Bellingen (A)",62.3
165,2016,"10650","Berrigan (A)",53.5
11907,2016,"10750","Blacktown (C)",56.6
95,2016,"10800","Bland (A)",52.8
200,2016,"10850","Blayney (A)",57.8
1778,2016,"10900","Blue Mountains (C)",68.4
62,2016,"10950","Bogan (A)",49.4
69,2016,"11150","Bourke (A)",57.3
95,2016,"11200","Brewarrina (A)",46.7
668,2016,"11250","Broken Hill (C)",51.3
2704,2016,"14500","Ku-ring-gai (A)",72.1
310,2016,"14550","Kyogle (A)",53.9
222,2016,"14100","Hunters Hill (A)",69.3
5021,2016,"14170","Inner West (A)",71.0
509,2016,"14200","Inverell (A)",52.8
116,2016,"14300","Junee (A)",62.0
883,2016,"14350","Kempsey (A)",55.9
436,2016,"14400","Kiama (A)",68.3
179,2016,"14600","Lachlan (A)",48.8
6295,2016,"14650","Lake Macquarie (C)",59.0
885,2016,"14700","Lane Cove (A)",75.6
259,2016,"14750","Leeton (A)",51.4
1534,2016,"14850","Lismore (C)",61.0
651,2016,"14870","Lithgow (C)",56.7
6764,2016,"14900","Liverpool (C)",52.4
241,2016,"14920","Liverpool Plains (A)",50.5
54,2016,"14950","Lockhart (A)",55.3
2741,2016,"15050","Maitland (C)",56.9
2975,2016,"15240","Mid-Coast (A)",55.7
678,2016,"15270","Mid-Western Regional (A)",58.2
376,2016,"15300","Moree Plains (A)",53.7
567,2016,"15350","Mosman (A)",75.9
194,2016,"15520","Murray River (A)",51.9
80,2016,"15560","Murrumbidgee (A)",50.8
603,2016,"15650","Muswellbrook (A)",53.1
645,2016,"15700","Nambucca (A)",56.5
359,2016,"15750","Narrabri (A)",52.7
150,2016,"15800","Narrandera (A)",52.1
206,2016,"15850","Narromine (A)",51.9
5829,2016,"15900","Newcastle (C)",61.8
1565,2016,"15950","North Sydney (A)",81.1
4642,2016,"15990","Northern Beaches (A)",69.5
137,2016,"16100","Oberon (A)",56.2
1200,2016,"16150","Orange (C)",59.6
470,2016,"16200","Parkes (A)",54.2
8019,2016,"16260","Parramatta (C)",67.8
5743,2016,"16350","Penrith (C)",54.7
2151,2016,"16380","Port Macquarie-Hastings (A)",59.4
2151,2016,"16400","Port Stephens (A)",58.9
1235,2016,"16490","Queanbeyan-Palerang Regional (A)",63.1
4046,2016,"16550","Randwick (C)",68.7
694,2016,"16610","Richmond Valley (A)",50.7
2374,2016,"11520","Canada Bay (A)",68.5
12420,2016,"11570","Canterbury-Bankstown (A)",52.1
46,2016,"11600","Carrathool (A)",50.0
1413,2016,"11300","Burwood (A)",61.5
10105,2016,"11650","Central Coast (C) (NSW)",58.2
71,2016,"11700","Central Darling (A)",50.8
2059,2016,"11720","Cessnock (C)",54.1
1740,2016,"11730","Clarence Valley (A)",55.5
123,2016,"11750","Cobar (A)",54.1
2347,2016,"11800","Coffs Harbour (C)",59.7
101,2016,"12000","Coolamon (A)",54.9
140,2016,"12150","Coonamble (A)",51.5
335,2016,"12350","Cowra (A)",51.4
9103,2016,"12380","Cumberland (A)",52.5
227,2016,"12700","Dungog (A)",58.7
200,2016,"12730","Edward River (A)",54.6
986,2016,"12750","Eurobodalla (A)",59.9
8429,2016,"12850","Fairfield (C)",40.5
257,2016,"12870","Federation (A)",53.0
225,2016,"12900","Forbes (A)",53.3
4844,2016,"12930","Georges River (A)",60.7
110,2016,"12950","Gilgandra (A)",50.2
945,2016,"11350","Byron (A)",69.5
268,2016,"11400","Cabonne (A)",58.0
1726,2016,"11450","Camden (A)",58.9
5874,2016,"11500","Campbelltown (C) (NSW)",54.0
283,2016,"13010","Glen Innes Severn (A)",54.6
851,2016,"13310","Goulburn Mulwaree (A)",58.5
223,2016,"13340","Greater Hume Shire (A)",56.9
586,2016,"13450","Griffith (C)",52.3
254,2016,"13510","Gundagai (A)",52.1
314,2016,"13550","Gunnedah (A)",53.3
106,2016,"13660","Gwydir (A)",50.0
1446,2016,"13800","Hawkesbury (C)",58.8
62,2016,"13850","Hay (A)",49.0
441,2016,"13910","Hilltops (A)",52.2
3572,2016,"14000","Hornsby (A)",69.6
3861,2016,"16700","Ryde (C)",68.0
2201,2016,"16900","Shellharbour (C)",55.8
2589,2016,"16950","Shoalhaven (C)",59.6
705,2016,"17000","Singleton (A)",57.3
340,2016,"17040","Snowy Monaro Regional (A)",62.8
343,2016,"17080","Snowy Valleys (A)",54.7
3837,2016,"17420","The Hills Shire (A)",66.4
2720,2016,"17550","Tweed (A)",58.0
320,2016,"17620","Upper Hunter Shire (A)",56.2
142,2016,"17640","Upper Lachlan Shire (A)",58.5
145,2016,"17650","Uralla (A)",61.1
1732,2016,"17750","Wagga Wagga (C)",58.3
47,2016,"17850","Walcha (A)",56.1
245,2016,"17900","Walgett (A)",49.1
91,2016,"17950","Warren (A)",50.8
285,2016,"18020","Warrumbungle Shire (A)",52.6
1458,2016,"18050","Waverley (A)",77.3
79,2016,"18100","Weddin (A)",52.3
180,2016,"18200","Wentworth (A)",54.2
1381,2016,"18230","Western Plains Regional (A)",58.4
1939,2016,"18250","Willoughby (C)",72.3
810,2016,"18350","Wingecarribee (A)",63.8
997,2016,"18400","Wollondilly (A)",59.4
6753,2016,"18450","Wollongong (C)",60.0
965,2016,"18500","Woollahra (A)",76.4
242,2016,"18710","Yass Valley (A)",64.1
10,2016,"19399","Unincorporated NSW",57.4
216,2016,"20110","Alpine (S)",60.3
257,2016,"20260","Ararat (RC)",56.4
3415,2016,"20570","Ballarat (C)",58.2
3429,2016,"20660","Banyule (C)",64.8
857,2016,"20740","Bass Coast (S)",58.3
1235,2016,"20830","Baw Baw (S)",58.3
2215,2016,"20910","Bayside (C)",68.6
319,2016,"21010","Benalla (RC)",56.4
4837,2016,"21110","Boroondara (C)",70.6
9257,2016,"21180","Brimbank (C)",49.0
113,2016,"21270","Buloke (S)",50.8
824,2016,"21370","Campaspe (S)",53.1
2601,2016,"21450","Cardinia (S)",58.5
10663,2016,"21610","Casey (C)",55.8
423,2016,"21670","Central Goldfields (S)",49.4
398,2016,"21750","Colac-Otway (S)",54.3
296,2016,"21830","Corangamite (S)",51.2
5435,2016,"21890","Darebin (C)",62.9
1153,2016,"22110","East Gippsland (S)",57.4
4365,2016,"22170","Frankston (C)",58.8
220,2016,"22250","Gannawarra (S)",48.6
1857,2016,"22830","Greater Shepparton (C)",52.8
345,2016,"22910","Hepburn (S)",63.6
124,2016,"22980","Hindmarsh (S)",47.4
2931,2016,"23110","Hobsons Bay (C)",59.9
468,2016,"23190","Horsham (RC)",54.5
7756,2016,"23270","Hume (C)",51.0
333,2016,"23350","Indigo (S)",63.2
4247,2016,"23430","Kingston (C) (Vic.)",61.4
4584,2016,"23670","Knox (C)",59.5
3157,2016,"23810","Latrobe (C) (Vic.)",56.2
158,2016,"23940","Loddon (S)",52.3
1002,2016,"24130","Macedon Ranges (S)",64.2
3452,2016,"24210","Manningham (C)",61.9
132,2016,"24250","Mansfield (S)",62.0
3760,2016,"24330","Maribyrnong (C)",63.9
3025,2016,"24410","Maroondah (C)",61.8
8006,2016,"24600","Melbourne (C)",71.2
4943,2016,"24650","Melton (C)",55.8
1784,2016,"24780","Mildura (RC)",52.0
1112,2016,"24850","Mitchell (S)",56.6
629,2016,"24900","Moira (S)",51.8
6956,2016,"24970","Monash (C)",62.6
3462,2016,"25060","Moonee Valley (C)",62.8
895,2016,"25150","Moorabool (S)",57.0
5915,2016,"25250","Moreland (C)",63.1
3487,2016,"25340","Mornington Peninsula (S)",60.5
431,2016,"25430","Mount Alexander (S)",66.1
299,2016,"25490","Moyne (S)",57.7
318,2016,"25620","Murrindindi (S)",60.2
1457,2016,"25710","Nillumbik (S)",65.1
266,2016,"25810","Northern Grampians (S)",51.0
3075,2016,"25900","Port Phillip (C)",76.1
176,2016,"25990","Pyrenees (S)",56.3
34,2016,"26080","Queenscliffe (B)",69.7
626,2016,"26170","South Gippsland (S)",56.9
335,2016,"26260","Southern Grampians (S)",55.3
3112,2016,"26350","Stonnington (C)",74.1
7493,2016,"17200","Sydney (C)",74.9
1609,2016,"17310","Tamworth Regional (A)",57.0
130,2016,"17350","Temora (A)",49.6
1473,2016,"17100","Strathfield (A)",64.6
200,2016,"17400","Tenterfield (A)",54.4
501,2016,"22490","Golden Plains (S)",59.8
4130,2016,"17150","Sutherland Shire (A)",65.1
4278,2016,"22310","Glen Eira (C)",68.7
3328,2016,"22620","Greater Bendigo (C)",58.1
6897,2016,"22670","Greater Dandenong (C)",48.6
7057,2016,"22750","Greater Geelong (C)",59.6
526,2016,"22410","Glenelg (S)",52.5
210,2016,"26430","Strathbogie (S)",56.5
558,2016,"26490","Surf Coast (S)",67.7
462,2016,"26610","Swan Hill (RC)",52.2
129,2016,"26670","Towong (S)",58.1
615,2016,"26700","Wangaratta (RC)",58.1
863,2016,"26730","Warrnambool (C)",56.7
1196,2016,"26810","Wellington (S)",57.6
72,2016,"26890","West Wimmera (S)",49.3
5603,2016,"26980","Whitehorse (C)",64.2
6868,2016,"27070","Whittlesea (C)",54.0
1160,2016,"27170","Wodonga (C)",58.3
8831,2016,"27260","Wyndham (C)",60.8
2814,2016,"27350","Yarra (C)",75.1
3572,2016,"27450","Yarra Ranges (S)",60.3
136,2016,"27630","Yarriambiack (S)",50.8
13,2016,"29399","Unincorporated Vic",73.1
140,2016,"30250","Aurukun (S)",28.3
99,2016,"30300","Balonne (S)",49.4
298,2016,"30370","Banana (S)",49.3
41,2016,"30410","Barcaldine (R)",48.4
4,2016,"30450","Barcoo (S)",40.9
34,2016,"30760","Blackall-Tambo (R)",43.6
6056,2016,"32080","Cairns (R)",61.6
86,2016,"47630","Tatiara (DC)",50.1
3275,2016,"47700","Tea Tree Gully (C)",57.2
77,2016,"32250","Carpentaria (S)",48.3
1021,2016,"32260","Cassowary Coast (R)",52.7
6,2016,"31750","Bulloo (S)",56.7
776,2016,"32270","Central Highlands (R) (Qld)",57.2
442,2016,"32310","Charters Towers (R)",47.9
4966,2016,"34770","Mackay (R)",55.8
17,2016,"34800","McKinlay (S)",52.6
32,2016,"34830","Mapoon (S)",46.4
246,2016,"34860","Maranoa (R)",54.1
751,2016,"34880","Mareeba (S)",57.2
15857,2016,"35010","Moreton Bay (R)",57.3
99,2016,"35250","Mornington (S)",48.2
582,2016,"35300","Mount Isa (C)",58.8
113,2016,"35600","Murweh (S)",47.1
70,2016,"35670","Napranum (S)",24.8
4007,2016,"31820","Bundaberg (R)",51.4
480,2016,"31900","Burdekin (S)",47.4
14,2016,"31950","Burke (S)",59.9
1577,2016,"35740","Noosa (S)",62.6
18,2016,"30900","Boulia (S)",47.6
241,2016,"35760","North Burnett (R)",48.7
201,2016,"35780","Northern Peninsula Area (R)",52.0
204,2016,"35790","Palm Island (S)",29.8
42,2016,"35800","Paroo (S)",45.4
47,2016,"36070","Pormpuraaw (S)",32.5
41774,2016,"31000","Brisbane (C)",65.5
14,2016,"36150","Quilpie (S)",44.4
4563,2016,"36250","Redland (C)",58.6
13,2016,"36300","Richmond (S)",48.4
129,2016,"32330","Cherbourg (S)",28.4
3475,2016,"36370","Rockhampton (R)",52.6
1074,2016,"36510","Scenic Rim (R)",56.3
818,2016,"36580","Somerset (R)",52.2
936,2016,"36630","South Burnett (R)",51.1
948,2016,"36660","Southern Downs (R)",50.5
9984,2016,"36720","Sunshine Coast (R)",60.8
803,2016,"36820","Tablelands (R)",56.3
116,2016,"36950","Torres (S)",64.8
183,2016,"36960","Torres Strait Island (R)",55.6
8438,2016,"37010","Townsville (C)",58.0
119,2016,"47800","The Coorong (DC)",44.6
75,2016,"32450","Cloncurry (S)",55.9
133,2016,"32500","Cook (S)",64.2
11,2016,"32600","Croydon (S)",56.8
28,2016,"33200","Flinders (S) (Qld)",42.7
6,2016,"32750","Diamantina (S)",57.7
4411,2016,"33220","Fraser Coast (R)",53.8
3368,2016,"33360","Gladstone (R)",57.4
19635,2016,"33430","Gold Coast (C)",60.8
187,2016,"33610","Goondiwindi (R)",51.0
1871,2016,"33620","Gympie (R)",53.3
289,2016,"33800","Hinchinbrook (S)",48.9
5149,2016,"36910","Toowoomba (R)",56.9
158,2016,"33830","Hope Vale (S)",50.2
8316,2016,"33960","Ipswich (C)",55.1
68,2016,"32770","Doomadgee (S)",24.7
