yr, lga_code17, solar_inst_small_scale_solar_panel_sys_inst_num, lga_name17
2016,"10050",3760,"Albury (C)"
2016,"10130",1803,"Armidale Regional (A)"
2016,"10250",4985,"Ballina (A)"
2016,"10300",166,"Balranald (A)"
2016,"10470",2324,"Bathurst Regional (A)"
2016,"10500",2654,"Bayside (A)"
2016,"10550",3417,"Bega Valley (A)"
2016,"10600",1492,"Bellingen (A)"
2016,"10650",1038,"Berrigan (A)"
2016,"10750",17573,"Blacktown (C)"
2016,"10800",501,"Bland (A)"
2016,"10850",448,"Blayney (A)"
2016,"10900",5556,"Blue Mountains (C)"
2016,"10950",276,"Bogan (A)"
2016,"11150",279,"Bourke (A)"
2016,"11200",79,"Brewarrina (A)"
2016,"14870",1267,"Lithgow (C)"
2016,"14900",8763,"Liverpool (C)"
2016,"14920",493,"Liverpool Plains (A)"
2016,"11250",2825,"Broken Hill (C)"
2016,"14950",354,"Lockhart (A)"
2016,"15050",4451,"Maitland (C)"
2016,"14100",283,"Hunters Hill (A)"
2016,"14170",3214,"Inner West (A)"
2016,"14200",1353,"Inverell (A)"
2016,"14300",359,"Junee (A)"
2016,"14350",2502,"Kempsey (A)"
2016,"14400",1394,"Kiama (A)"
2016,"14500",2825,"Ku-ring-gai (A)"
2016,"14550",1105,"Kyogle (A)"
2016,"14600",644,"Lachlan (A)"
2016,"14650",11616,"Lake Macquarie (C)"
2016,"14700",703,"Lane Cove (A)"
2016,"14750",665,"Leeton (A)"
2016,"14850",4823,"Lismore (C)"
2016,"15240",8702,"Mid-Coast (A)"
2016,"15270",1714,"Mid-Western Regional (A)"
2016,"15300",1656,"Moree Plains (A)"
2016,"15350",380,"Mosman (A)"
2016,"15520",1191,"Murray River (A)"
2016,"15560",405,"Murrumbidgee (A)"
2016,"15650",820,"Muswellbrook (A)"
2016,"15700",2026,"Nambucca (A)"
2016,"15750",2171,"Narrabri (A)"
2016,"15800",444,"Narrandera (A)"
2016,"15850",842,"Narromine (A)"
2016,"15900",7190,"Newcastle (C)"
2016,"15950",529,"North Sydney (A)"
2016,"15990",6918,"Northern Beaches (A)"
2016,"16100",357,"Oberon (A)"
2016,"16150",2150,"Orange (C)"
2016,"16200",1255,"Parkes (A)"
2016,"16260",5885,"Parramatta (C)"
2016,"16350",9726,"Penrith (C)"
2016,"16380",7657,"Port Macquarie-Hastings (A)"
2016,"16400",5065,"Port Stephens (A)"
2016,"16490",3177,"Queanbeyan-Palerang Regional (A)"
2016,"16550",1869,"Randwick (C)"
2016,"16610",2365,"Richmond Valley (A)"
2016,"11700",208,"Central Darling (A)"
2016,"11720",3161,"Cessnock (C)"
2016,"11730",4975,"Clarence Valley (A)"
2016,"11750",521,"Cobar (A)"
2016,"11300",668,"Burwood (A)"
2016,"11800",5604,"Coffs Harbour (C)"
2016,"12000",331,"Coolamon (A)"
2016,"12150",434,"Coonamble (A)"
2016,"12350",900,"Cowra (A)"
2016,"12380",5795,"Cumberland (A)"
2016,"12700",729,"Dungog (A)"
2016,"12730",790,"Edward River (A)"
